Station,Year,Month,Tmax (Celcius),Tmin (Celcius),Af, Rain (mm), Sun (hours)
Bradford,1908,1,5.0,-1.4,21.0,---,29.7
Bradford,1908,2,7.3,1.9,8.0,---,71.9
Bradford,1908,3,6.2,0.3,13.0,---,101.4
Bradford,1908,4,8.6,2.1,5.0,---,128.6
Bradford,1908,5,15.8,7.7,0.0,---,180.4
Bradford,1908,6,17.7,8.7,0.0,---,196.9
Bradford,1908,7,18.9,11.0,0.0,---,196.1
Bradford,1908,8,17.5,9.7,0.0,---,187.2
Bradford,1908,9,16.3,8.4,0.0,---,99.5
Bradford,1908,10,14.6,8.0,0.0,---,56.1
Bradford,1908,11,9.6,3.4,6.0,---,28.4
Bradford,1908,12,5.8,0.0,13.0,---,10.3
Bradford,1909,1,5.0,0.1,11.0,---,35.6
Bradford,1909,2,5.5,-0.3,18.0,---,49.9
Bradford,1909,3,5.6,-0.3,17.0,---,58.7
Bradford,1909,4,12.2,3.3,3.0,---,188.9
Bradford,1909,5,14.7,4.8,2.0,---,216.8
Bradford,1909,6,15.0,7.5,0.0,---,139.5
Bradford,1909,7,17.3,10.8,0.0,---,151.2
Bradford,1909,8,18.8,10.7,0.0,---,167.5
Bradford,1909,9,14.5,8.1,0.0,---,74.4
Bradford,1909,10,12.9,6.9,3.0,---,101.5
Bradford,1909,11,7.5,1.7,10.0,---,60.8
Bradford,1909,12,5.3,0.4,10.0,---,31.5
Bradford,1910,1,5.2,-0.5,13.0,---,43.4
Bradford,1910,2,7.0,1.5,7.0,---,74.3
Bradford,1910,3,9.1,2.2,4.0,---,123.1
Bradford,1910,4,9.8,2.4,4.0,---,118.2
Bradford,1910,5,14.3,6.0,0.0,---,185.8
Bradford,1910,6,17.7,9.6,0.0,---,163.4
Bradford,1910,7,17.0,9.8,0.0,---,169.7
Bradford,1910,8,18.0,11.8,0.0,---,133.8
Bradford,1910,9,15.0,8.5,0.0,---,106.1
Bradford,1910,10,12.6,7.3,0.0,---,69.7
Bradford,1910,11,5.5,-0.4,17.0,---,66.0
Bradford,1910,12,8.0,3.6,3.0,---,24.0
Bradford,1911,1,5.8,1.8,6.0,33.0,23.5
Bradford,1911,2,6.9,1.3,8.0,91.7,65.8
Bradford,1911,3,6.4,1.9,2.0,25.1,83.6
Bradford,1911,4,10.0,3.9,3.0,26.4,128.3
Bradford,1911,5,16.3,7.9,0.0,24.6,192.3
Bradford,1911,6,17.8,9.0,0.0,84.3,225.3
Bradford,1911,7,22.2,11.7,0.0,4.9,280.6
Bradford,1911,8,21.6,12.5,0.0,51.8,204.8
Bradford,1911,9,17.3,8.6,0.0,74.5,171.2
Bradford,1911,10,11.4,5.6,1.0,87.3,57.6
Bradford,1911,11,7.9,3.2,4.0,90.1,59.3
Bradford,1911,12,8.2,3.3,0.0,119.1,18.4
Bradford,1912,1,4.8,0.1,11.0,140.0,15.4
Bradford,1912,2,6.6,1.3,7.0,57.3,48.1
Bradford,1912,3,9.0,3.5,3.0,121.7,71.7
Bradford,1912,4,12.4,3.4,5.0,15.5,184.9
Bradford,1912,5,14.9,6.6,0.0,75.4,135.4
Bradford,1912,6,16.7,9.9,0.0,156.7,122.9
Bradford,1912,7,18.3,11.7,0.0,92.1,107.4
Bradford,1912,8,15.1,9.2,0.0,144.0,87.0
Bradford,1912,9,13.7,7.7,0.0,41.2,102.0
Bradford,1912,10,11.6,4.2,1.0,85.1,71.3
Bradford,1912,11,8.3,3.8,4.0,63.9,39.5
Bradford,1912,12,8.9,2.4,5.0,107.1,15.4
Bradford,1913,1,5.4,1.1,12.0,108.7,7.2
Bradford,1913,2,7.2,1.2,8.0,32.1,40.8
Bradford,1913,3,8.3,2.1,3.0,112.6,93.8
Bradford,1913,4,10.6,3.8,3.0,90.9,96.4
Bradford,1913,5,14.7,6.8,0.0,65.8,148.5
Bradford,1913,6,17.4,9.5,0.0,40.9,181.8
Bradford,1913,7,17.5,10.4,0.0,18.3,131.2
Bradford,1913,8,18.5,10.1,0.0,40.7,142.4
Bradford,1913,9,16.9,10.3,0.0,42.7,109.9
Bradford,1913,10,12.7,7.3,1.0,65.9,66.3
Bradford,1913,11,10.1,5.1,0.0,82.4,35.8
Bradford,1913,12,6.8,2.3,7.0,68.6,11.9
Bradford,1914,1,6.0,0.7,10.0,59.5,17.4
Bradford,1914,2,9.5,3.5,2.0,68.4,50.3
Bradford,1914,3,8.5,2.6,3.0,91.0,87.7
Bradford,1914,4,14.1,4.4,0.0,37.3,194.4
Bradford,1914,5,13.7,5.9,2.0,25.3,136.4
Bradford,1914,6,18.4,9.1,0.0,70.0,233.7
Bradford,1914,7,19.2,11.5,0.0,103.9,129.3
Bradford,1914,8,19.7,11.1,0.0,58.3,175.9
Bradford,1914,9,17.0,8.4,0.0,39.9,167.2
Bradford,1914,10,12.5,7.2,0.0,54.0,56.8
Bradford,1914,11,9.1,3.5,7.0,136.6,37.6
Bradford,1914,12,6.4,1.7,6.0,182.4,4.6
Bradford,1915,1,5.4,1.3,8.0,119.5,20.8
Bradford,1915,2,6.3,0.8,8.0,111.6,49.0
Bradford,1915,3,7.9,1.5,10.0,27.3,111.5
Bradford,1915,4,10.9,3.5,0.0,34.4,159.9
Bradford,1915,5,13.9,4.9,0.0,61.9,171.0
Bradford,1915,6,18.6,8.2,0.0,62.0,181.8
Bradford,1915,7,17.5,10.3,0.0,112.8,156.3
Bradford,1915,8,18.3,10.2,0.0,100.6,148.8
Bradford,1915,9,16.8,8.9,0.0,14.0,143.8
Bradford,1915,10,11.2,5.1,1.0,41.3,28.4
Bradford,1915,11,5.8,-0.6,13.0,51.6,66.9
Bradford,1915,12,6.6,1.2,7.0,196.4,13.1
Bradford,1916,1,9.7,4.4,2.0,68.3,34.4
Bradford,1916,2,5.4,0.5,10.0,144.1,53.1
Bradford,1916,3,4.4,0.3,14.0,106.9,55.4
Bradford,1916,4,11.4,3.1,2.0,42.3,173.6
Bradford,1916,5,14.8,6.3,0.0,66.2,133.8
Bradford,1916,6,14.4,7.7,0.0,51.5,121.8
Bradford,1916,7,18.4,11.1,0.0,69.7,172.0
Bradford,1916,8,20.1,12.1,0.0,55.1,138.3
Bradford,1916,9,15.8,8.9,0.0,48.1,106.9
Bradford,1916,10,12.5,6.1,2.0,153.5,63.0
Bradford,1916,11,8.8,4.1,3.0,86.9,32.2
Bradford,1916,12,4.4,-0.6,16.0,75.9,17.1
Bradford,1917,1,3.0,-0.5,24.0,64.6,17.3
Bradford,1917,2,3.2,-2.3,18.0,16.6,31.9
Bradford,1917,3,5.5,-0.9,17.0,84.8,87.3
Bradford,1917,4,8.3,0.8,12.0,48.6,125.7
Bradford,1917,5,16.3,6.6,1.0,64.3,176.5
Bradford,1917,6,18.7,9.4,0.0,54.1,208.5
Bradford,1917,7,19.9,11.0,0.0,29.6,211.0
Bradford,1917,8,18.1,11.9,0.0,111.8,103.1
Bradford,1917,9,17.3,10.3,0.0,25.2,110.7
Bradford,1917,10,10.2,3.6,3.0,139.7,103.2
Bradford,1917,11,9.6,4.9,2.0,60.6,38.6
Bradford,1917,12,4.5,-0.1,16.0,50.8,13.1
Bradford,1918,1,6.1,0.2,16.0,65.0,37.5
Bradford,1918,2,8.0,2.9,6.0,107.0,34.2
Bradford,1918,3,8.2,2.0,5.0,41.8,104.0
Bradford,1918,4,9.4,2.9,3.0,19.4,126.5
Bradford,1918,5,16.9,7.3,0.0,86.4,170.8
Bradford,1918,6,16.6,8.0,0.0,31.5,188.0
Bradford,1918,7,18.8,10.5,0.0,141.6,182.3
Bradford,1918,8,19.0,11.4,0.0,47.3,154.4
Bradford,1918,9,14.1,8.1,0.0,200.3,119.6
Bradford,1918,10,11.8,6.1,0.0,48.1,83.1
Bradford,1918,11,7.9,1.7,11.0,39.9,28.4
Bradford,1918,12,8.8,3.7,5.0,134.2,2.8
Bradford,1919,1,4.4,0.1,16.0,139.2,24.5
Bradford,1919,2,3.1,-1.4,16.0,47.2,27.6
Bradford,1919,3,5.4,-0.4,15.0,155.0,90.2
Bradford,1919,4,10.1,3.0,5.0,48.3,116.0
Bradford,1919,5,17.3,7.3,0.0,51.7,187.8
Bradford,1919,6,17.7,9.4,0.0,23.1,224.7
Bradford,1919,7,17.2,9.4,0.0,86.1,138.7
Bradford,1919,8,18.9,10.5,0.0,61.2,186.0
Bradford,1919,9,16.3,8.3,1.0,27.2,133.4
Bradford,1919,10,11.1,3.1,2.0,57.9,105.5
Bradford,1919,11,4.9,0.2,11.0,69.9,28.9
Bradford,1919,12,7.2,2.0,5.0,143.4,12.5
Bradford,1920,1,7.4,1.7,3.0,117.3,36.5
Bradford,1920,2,8.3,2.2,6.0,73.1,63.1
Bradford,1920,3,10.1,3.1,3.0,69.3,86.3
Bradford,1920,4,9.7,4.0,0.0,107.1,79.9
Bradford,1920,5,14.8,7.0,0.0,92.1,177.1
Bradford,1920,6,17.5,9.0,0.0,56.0,183.8
Bradford,1920,7,16.3,10.4,0.0,177.2,106.9
Bradford,1920,8,16.4,9.7,0.0,42.7,111.7
Bradford,1920,9,15.9,8.5,0.0,37.0,86.3
Bradford,1920,10,12.7,6.8,1.0,81.0,49.0
Bradford,1920,11,8.7,4.5,0.0,51.4,22.7
Bradford,1920,12,6.2,1.7,11.0,97.0,9.1
Bradford,1921,1,8.9,3.8,3.0,148.3,20.0
Bradford,1921,2,6.4,1.9,4.0,3.3,44.3
Bradford,1921,3,9.9,3.3,1.0,51.0,98.7
Bradford,1921,4,11.5,3.4,2.0,32.7,164.0
Bradford,1921,5,15.2,5.9,1.0,36.6,217.5
Bradford,1921,6,18.6,8.6,0.0,1.3,232.1
Bradford,1921,7,22.4,11.9,0.0,37.9,180.1
Bradford,1921,8,17.9,11.5,0.0,104.2,121.5
Bradford,1921,9,17.7,9.3,0.0,28.7,158.6
Bradford,1921,10,16.2,8.8,0.0,50.2,82.3
Bradford,1921,11,6.1,0.9,9.0,58.2,32.1
Bradford,1921,12,9.0,3.3,6.0,124.4,4.3
Bradford,1922,1,4.8,0.1,18.0,115.3,23.6
Bradford,1922,2,6.1,0.5,11.0,88.2,40.1
Bradford,1922,3,6.3,1.3,8.0,64.2,49.3
Bradford,1922,4,8.6,0.7,8.0,88.4,121.4
Bradford,1922,5,16.4,7.3,0.0,28.0,192.6
Bradford,1922,6,17.0,8.6,0.0,35.9,221.6
Bradford,1922,7,16.2,9.6,0.0,107.5,132.9
Bradford,1922,8,16.1,9.9,0.0,137.1,128.0
Bradford,1922,9,14.8,8.4,0.0,81.9,66.7
Bradford,1922,10,10.9,4.9,1.0,22.3,71.2
Bradford,1922,11,8.8,3.3,5.0,41.6,61.7
Bradford,1922,12,7.5,3.3,0.0,90.0,14.4
Bradford,1923,1,8.2,3.0,8.0,54.3,42.0
Bradford,1923,2,6.2,1.9,10.0,154.5,30.0
Bradford,1923,3,9.0,2.8,1.0,42.4,80.1
Bradford,1923,4,9.8,3.2,1.0,58.6,114.4
Bradford,1923,5,11.5,4.7,0.0,86.2,163.0
Bradford,1923,6,15.3,8.3,0.0,25.3,153.8
Bradford,1923,7,20.0,12.9,0.0,82.6,165.7
Bradford,1923,8,17.5,10.7,0.0,95.4,147.9
Bradford,1923,9,15.2,8.6,0.0,80.0,146.9
Bradford,1923,10,11.6,6.5,0.0,78.0,87.7
Bradford,1923,11,5.5,0.5,14.0,121.2,55.8
Bradford,1923,12,5.5,0.5,14.0,87.2,33.8
Bradford,1924,1,6.0,1.1,9.0,67.0,27.1
Bradford,1924,2,5.2,0.9,10.0,22.6,39.0
Bradford,1924,3,6.6,-1.3,21.0,38.0,90.5
Bradford,1924,4,9.7,2.3,7.0,52.5,92.3
Bradford,1924,5,13.8,7.0,0.0,118.1,116.5
Bradford,1924,6,16.7,9.4,0.0,46.6,152.5
Bradford,1924,7,18.0,10.9,0.0,86.2,181.2
Bradford,1924,8,16.7,10.0,0.0,72.7,135.3
Bradford,1924,9,15.9,10.2,0.0,87.9,128.6
Bradford,1924,10,12.4,6.7,1.0,76.4,64.3
Bradford,1924,11,8.9,4.5,2.0,67.8,28.0
Bradford,1924,12,9.0,4.8,1.0,108.3,13.8
Bradford,1925,1,7.3,2.2,3.0,108.4,25.3
Bradford,1925,2,6.8,1.4,7.0,143.9,57.5
Bradford,1925,3,7.3,1.8,8.0,26.5,91.9
Bradford,1925,4,10.3,3.4,2.0,70.7,125.0
Bradford,1925,5,14.6,7.2,1.0,113.9,106.0
Bradford,1925,6,18.9,9.2,0.0,2.1,205.3
Bradford,1925,7,20.8,12.1,0.0,26.8,176.5
Bradford,1925,8,18.8,11.7,0.0,92.5,132.4
Bradford,1925,9,14.3,7.5,0.0,67.4,115.9
Bradford,1925,10,13.0,6.4,0.0,92.8,80.9
Bradford,1925,11,5.8,-0.2,19.0,60.3,52.8
Bradford,1925,12,4.6,-0.8,18.0,130.9,34.9
Bradford,1926,1,6.7,1.5,9.0,99.1,9.8
Bradford,1926,2,8.2,3.5,4.0,66.8,35.8
Bradford,1926,3,8.5,3.1,3.0,34.6,80.5
Bradford,1926,4,12.3,4.9,0.0,37.3,99.4
Bradford,1926,5,13.1,4.6,0.0,71.9,134.2
Bradford,1926,6,17.2,8.3,0.0,75.2,161.7
Bradford,1926,7,20.2,12.3,0.0,54.1,152.8
Bradford,1926,8,19.3,11.0,0.0,77.0,197.8
Bradford,1926,9,17.1,9.6,0.0,46.2,119.4
Bradford,1926,10,10.5,4.1,7.0,91.9,105.3
Bradford,1926,11,7.7,2.2,4.0,147.9,36.2
Bradford,1926,12,6.4,1.6,8.0,26.9,46.3
Bradford,1927,1,6.7,1.9,7.0,75.9,24.4
Bradford,1927,2,6.6,0.6,16.0,40.2,37.1
Bradford,1927,3,9.5,3.5,1.0,79.6,83.3
Bradford,1927,4,10.2,3.8,2.0,68.2,136.9
Bradford,1927,5,13.9,5.5,1.0,35.1,130.9
Bradford,1927,6,14.9,7.4,0.0,82.4,182.5
Bradford,1927,7,18.7,11.6,0.0,100.0,130.8
Bradford,1927,8,17.9,11.7,0.0,147.0,104.2
Bradford,1927,9,15.0,9.2,0.0,103.5,99.1
Bradford,1927,10,13.2,6.5,0.0,95.0,71.8
Bradford,1927,11,8.0,2.8,6.0,87.0,50.8
Bradford,1927,12,2.5,-0.5,13.0,67.9,17.6
Bradford,1928,1,7.4,0.9,8.0,206.3,30.7
Bradford,1928,2,7.7,2.3,2.0,112.6,53.6
Bradford,1928,3,7.8,2.3,5.0,87.2,55.2
Bradford,1928,4,11.1,3.3,7.0,26.6,109.3
Bradford,1928,5,13.9,5.6,0.0,48.4,119.3
Bradford,1928,6,15.4,7.8,0.0,153.5,189.7
Bradford,1928,7,18.8,11.3,0.0,19.8,241.5
Bradford,1928,8,18.6,11.0,0.0,99.6,159.8
Bradford,1928,9,15.9,8.5,0.0,12.3,109.0
Bradford,1928,10,12.4,6.1,2.0,128.1,90.6
Bradford,1928,11,9.8,4.8,3.0,154.6,48.1
Bradford,1928,12,5.7,-0.1,16.0,51.2,25.2
Bradford,1929,1,---,---,---,56.0,---
Bradford,1929,2,---,---,---,18.7,11.2
Bradford,1929,3,---,---,---,7.1,128.6
Bradford,1929,4,---,---,---,24.5,142.2
Bradford,1929,5,---,---,---,39.8,198.3
Bradford,1929,6,---,---,---,22.9,194.8
Bradford,1929,7,---,---,---,54.5,170.1
Bradford,1929,8,---,---,---,55.7,150.5
Bradford,1929,9,---,---,---,16.1,152.5
Bradford,1929,10,12.0,5.2,4.0,92.3,94.1
Bradford,1929,11,8.9,2.5,9.0,156.9,28.8
Bradford,1929,12,7.2,2.4,6.0,187.5,33.4
Bradford,1930,1,7.6,1.3,11.0,137.9,36.3
Bradford,1930,2,3.8,-0.5,16.0,29.9,29.7
Bradford,1930,3,7.4,1.0,11.0,73.7,94.2
Bradford,1930,4,9.9,4.2,0.0,83.4,76.8
Bradford,1930,5,13.7,5.7,0.0,39.6,154.1
Bradford,1930,6,18.7,9.6,0.0,65.2,194.8
Bradford,1930,7,17.5,11.1,0.0,147.6,149.2
Bradford,1930,8,18.6,11.3,0.0,106.6,172.6
Bradford,1930,9,15.7,9.9,0.0,123.8,110.0
Bradford,1930,10,12.6,7.0,0.0,92.6,105.9
Bradford,1930,11,8.5,2.6,6.0,113.7,54.0
Bradford,1930,12,6.0,1.5,7.0,78.3,12.5
Bradford,1931,1,5.5,0.0,16.0,64.9,45.0
Bradford,1931,2,5.2,1.0,7.0,92.0,40.0
Bradford,1931,3,6.4,-0.7,18.0,10.8,105.5
Bradford,1931,4,10.0,3.8,1.0,91.5,104.7
Bradford,1931,5,14.5,6.8,0.0,58.9,147.5
Bradford,1931,6,16.7,9.8,0.0,131.0,134.5
Bradford,1931,7,18.0,11.8,0.0,83.3,128.2
Bradford,1931,8,16.9,9.9,0.0,83.7,141.8
Bradford,1931,9,14.3,8.3,0.0,96.9,83.7
Bradford,1931,10,12.2,4.6,6.0,32.0,115.1
Bradford,1931,11,9.5,5.0,0.0,153.1,21.1
Bradford,1931,12,7.3,2.4,10.0,37.5,34.9
Bradford,1932,1,8.8,3.1,8.0,66.0,40.3
Bradford,1932,2,5.8,0.4,14.0,19.4,43.7
Bradford,1932,3,7.6,1.2,9.0,51.6,75.1
Bradford,1932,4,9.5,2.4,5.0,79.7,113.5
Bradford,1932,5,12.8,6.4,1.0,100.1,94.9
Bradford,1932,6,17.8,8.8,0.0,14.6,175.3
Bradford,1932,7,19.0,12.4,0.0,121.1,130.7
Bradford,1932,8,19.6,12.4,0.0,24.4,128.6
Bradford,1932,9,15.9,8.7,0.0,71.4,117.8
Bradford,1932,10,11.4,4.7,2.0,110.6,81.2
Bradford,1932,11,8.2,4.0,2.0,55.8,27.1
Bradford,1932,12,7.3,3.6,2.0,37.3,28.5
Bradford,1933,1,4.4,-0.3,16.0,62.8,22.3
Bradford,1933,2,6.1,1.0,10.0,113.3,65.8
Bradford,1933,3,10.1,2.1,3.0,32.2,125.9
Bradford,1933,4,12.3,4.8,1.0,36.5,112.1
Bradford,1933,5,15.6,7.7,0.0,71.2,135.5
Bradford,1933,6,19.5,9.9,0.0,31.8,208.1
Bradford,1933,7,21.4,12.4,0.0,57.0,201.2
Bradford,1933,8,21.1,12.5,0.0,14.7,197.7
Bradford,1933,9,18.9,10.2,0.0,42.0,149.6
Bradford,1933,10,12.3,7.1,0.0,100.5,69.0
Bradford,1933,11,7.6,3.2,2.0,55.8,41.2
Bradford,1933,12,4.2,-0.1,12.0,14.3,14.8
Bradford,1934,1,7.3,1.5,7.0,68.3,44.9
Bradford,1934,2,7.0,1.5,8.0,3.3,72.9
Bradford,1934,3,7.3,1.1,6.0,67.4,68.2
Bradford,1934,4,10.7,3.9,2.0,72.3,108.2
Bradford,1934,5,15.3,6.5,0.0,47.8,178.0
Bradford,1934,6,18.3,9.5,0.0,42.5,174.1
Bradford,1934,7,22.4,12.7,0.0,55.8,234.9
Bradford,1934,8,18.6,10.7,0.0,45.3,153.6
Bradford,1934,9,18.5,10.0,0.0,46.0,134.4
Bradford,1934,10,12.6,7.4,0.0,74.1,76.4
Bradford,1934,11,8.3,3.7,6.0,39.8,29.0
Bradford,1934,12,9.3,5.2,0.0,140.3,8.8
Bradford,1935,1,6.5,1.9,8.0,38.2,38.3
Bradford,1935,2,7.5,2.7,3.0,111.7,42.0
Bradford,1935,3,8.9,3.3,2.0,29.6,87.3
Bradford,1935,4,10.7,3.9,2.0,105.5,135.3
Bradford,1935,5,13.5,4.8,0.0,21.8,238.0
Bradford,1935,6,18.7,10.3,0.0,79.0,171.3
Bradford,1935,7,21.1,11.8,0.0,15.3,240.0
Bradford,1935,8,21.4,11.4,0.0,33.3,201.6
Bradford,1935,9,16.5,9.2,0.0,155.1,137.5
Bradford,1935,10,11.8,6.1,2.0,176.1,68.8
Bradford,1935,11,8.7,3.7,2.0,163.3,23.5
Bradford,1935,12,4.5,-0.2,13.0,87.5,27.5
Bradford,1936,1,5.0,0.5,8.0,98.9,32.0
Bradford,1936,2,3.9,-1.3,17.0,60.4,43.4
Bradford,1936,3,8.8,3.2,3.0,63.5,40.1
Bradford,1936,4,9.4,2.1,7.0,40.9,160.6
Bradford,1936,5,14.5,6.4,0.0,37.1,153.3
Bradford,1936,6,18.1,9.6,0.0,121.4,172.3
Bradford,1936,7,18.4,11.6,0.0,69.8,152.0
Bradford,1936,8,19.4,11.6,0.0,43.1,166.6
Bradford,1936,9,17.1,11.2,0.0,96.0,77.8
Bradford,1936,10,12.5,5.9,0.0,66.8,93.2
Bradford,1936,11,7.9,2.7,8.0,103.4,38.8
Bradford,1936,12,7.7,2.0,6.0,75.6,31.5
Bradford,1937,1,6.9,1.7,10.0,96.0,15.7
Bradford,1937,2,6.8,1.6,6.0,131.5,61.0
Bradford,1937,3,5.0,-0.6,19.0,84.1,61.6
Bradford,1937,4,11.4,5.0,0.0,63.9,75.5
Bradford,1937,5,15.5,7.6,0.0,62.3,160.7
Bradford,1937,6,17.1,9.8,0.0,42.0,153.1
Bradford,1937,7,19.6,12.4,0.0,54.0,129.1
Bradford,1937,8,20.3,11.7,0.0,28.8,142.5
Bradford,1937,9,16.4,8.9,0.0,37.1,102.5
Bradford,1937,10,12.8,7.0,0.0,52.6,54.1
Bradford,1937,11,7.7,2.2,9.0,43.8,48.4
Bradford,1937,12,4.5,0.3,13.0,75.9,16.3
Bradford,1938,1,7.8,3.0,1.0,109.5,41.1
Bradford,1938,2,6.7,2.3,2.0,34.9,55.2
Bradford,1938,3,12.5,5.3,0.0,9.7,117.4
Bradford,1938,4,11.3,3.5,4.0,5.7,145.1
Bradford,1938,5,14.2,6.3,1.0,104.1,146.5
Bradford,1938,6,17.4,10.1,0.0,78.5,189.6
Bradford,1938,7,17.9,10.9,0.0,92.0,127.2
Bradford,1938,8,19.3,11.8,0.0,119.1,144.8
Bradford,1938,9,16.6,9.7,0.0,41.5,86.4
Bradford,1938,10,12.4,7.1,0.0,165.2,74.8
Bradford,1938,11,10.8,6.0,0.0,108.7,42.1
Bradford,1938,12,6.1,1.2,10.0,93.1,26.3
Bradford,1939,1,5.4,0.9,12.0,178.8,22.7
Bradford,1939,2,7.6,2.4,4.0,75.0,52.7
Bradford,1939,3,7.9,2.7,2.0,62.1,97.4
Bradford,1939,4,11.5,4.1,3.0,28.1,156.4
Bradford,1939,5,15.0,6.8,0.0,27.0,162.1
Bradford,1939,6,18.1,8.8,0.0,63.7,208.1
Bradford,1939,7,18.4,11.5,0.0,149.6,147.7
Bradford,1939,8,19.3,12.4,0.0,35.5,124.3
Bradford,1939,9,16.7,10.6,0.0,30.4,80.6
Bradford,1939,10,10.9,4.8,0.0,50.7,81.2
Bradford,1939,11,10.0,5.0,0.0,120.3,34.5
Bradford,1939,12,5.2,1.4,6.0,48.3,19.0
Bradford,1940,1,0.7,-4.9,27.0,89.7,19.6
Bradford,1940,2,3.2,-1.6,16.0,59.3,17.0
Bradford,1940,3,8.9,1.9,11.0,53.4,92.1
Bradford,1940,4,10.4,3.6,3.0,73.4,89.8
Bradford,1940,5,16.9,7.2,0.0,14.2,193.7
Bradford,1940,6,21.8,10.6,0.0,8.0,280.6
Bradford,1940,7,18.4,10.9,0.0,72.9,152.2
Bradford,1940,8,18.5,10.5,0.0,12.3,150.2
Bradford,1940,9,15.8,8.2,0.0,67.6,136.2
Bradford,1940,10,11.7,6.2,1.0,93.2,52.7
Bradford,1940,11,8.6,4.1,1.0,140.6,32.4
Bradford,1940,12,6.0,1.5,6.0,44.8,24.7
Bradford,1941,1,1.4,-2.3,23.0,120.5,27.2
Bradford,1941,2,4.7,-0.8,13.0,92.5,51.8
Bradford,1941,3,7.4,0.9,6.0,88.9,79.4
Bradford,1941,4,8.1,2.6,3.0,72.9,75.0
Bradford,1941,5,12.3,4.8,2.0,48.5,119.9
Bradford,1941,6,19.1,9.3,0.0,9.8,185.2
Bradford,1941,7,22.2,12.5,0.0,33.0,202.3
Bradford,1941,8,17.9,10.9,0.0,97.3,165.9
Bradford,1941,9,17.6,11.2,0.0,6.2,46.1
Bradford,1941,10,12.4,7.2,0.0,98.0,78.0
